recipient_raw,count
判禪宗 仁允,3
謝朴延城 元亨,3
李廣陵,3
姜景愚,3
黃南原賀登極而還,3
許琮赴咸吉兵使,3
別濟州安撫使文公 汝良,3
李廣城 克堪,3
謝呈,3
次韻謝呈,3
金參議 永濡 年兄赴京,3
金濟州 好仁,3
金濟州,3
昌寧府院君,3
江原監司李克墩,3
工部秋晴,3
工部中宵,3
諸公送別金執義分臺永興詩卷,3
別金執義分臺永興詩卷,3
李執義同庚 季町 分臺濟州,3
荒句,3
高韻 附內翰,3
濟州李安撫使,3
李淸甫學士,3
德輿,3
密陽嶺南樓,3
應之題山房,3
楊根東軒,3
日本釋文溪,3
吳監察詩韻 永孝,3
尹同庚之任宜寧 子濴,3
贈別,3
蕭進士山海登樓,3
尹宜寧,3
平安監司曹同年,3
鄭知常,3
尹淡叟庚兄,3
內翰陳先生 鑑 謁聖,3
陳內翰漢江,3
洪日休同年,3
尹同年 子濚 佐幕慶尙道,3
太祖御製,3
耆伯,3
淡臾,3
送,3
者數,3
吳同鄰,3
同年申中丞 自繩,3
頤叟,3
尹淡叟同庚,3
岑上人訪林亭,3
之翰○,3
浩堂軒上人還海印寺,3
天使金 湜𪚥竹,3
濟州李判官 某 之任,3
李執義 季町 兄分司濟州,3
子深,3
成上舍遊關東,3
沈護軍園中,3
寫眞裴護軍,3
申大司成同年,3
仲息上人遊楓岳,3
芮同樞 承錫 朝正,3
李僉正 瓊仝,3
李韓山,3
河東鄭,3
權判事同年 得經 休官侍親之,3
琴同年以 以詠 寄,3
李 玉如 掌令,3
蒲筍,3
戒浩上人覲親歸平山,3
禮曹許判書巡察平安道,3
蕃仲丈,3
崔佐郞 信漢 出守順安縣令,3
尹壯元還鄕榮親,3
黃海道權都事 景禧○,3
永安道李節度 季仝○,3
晉州尹判官,3
金中樞歸善山,3
金中樞同年再按黃海道,3
河敎授還慶州,3
全州崔敎授,3
曹博士榮親還鄕,3
黃海道朴監司 繼性○,3
全羅李都事,3
具僉樞往浴公州溫井,3
金山權太守,3
李判書 封,3
權僉知 節,3
平安道李評事 宗準○,3
春菜,3
遺事,3
金子固雙溪齋,3
權逍遙亭,3
長湍別墅,3
慶尙成監司 俶○,3
徐斯文 赳 之任谷山郡,3
安岳尹太守 晳,3
金都事 浩 斯文,3
謝恩使成中樞 健○,3
望遠亭,3
富林君之湖南,3
忠州黃牧使 允亨○,3
忠淸道姜都事 參○,3
沔川李使君 禮全○,3
盧大司成 自亨 乞退還鄕,3
鳳山環翠樓,3
副使却女樂,3
副使謁聖,3
正使謁聖,3
驪州淸心樓,3
綱,3
春坊書懷,3
人問病,3
地主,3
陳內翰,3
菁川子姜景愚希顏如京,3
送能濟禪師,3
能濟禪師,3
永川卿云,3
公州東軒,3
永川卿定,3
天水亭,3
達城,3
浩上人歸覲,3
權應敎 健 如京師,3
芮忠年登武擧榮墳于瑞山,3
永川君 定 遊通津,3
伯 嘗奉使箕城,3
殷勤,3
豐基板上,3
朴子啓出按江原道,3
淡叟出牧晉州,3
人赴燕京賀千秋節,3
日本國僧,3
諸公韵,3
板上韵,3
醴泉北樓韵,3
京留數日,3
鄭密陽亨,3
李節度使,3
却寄,3
李節度使赴鎭韵,3
鄭比安 名仲處,3
玉如內相,3
林元翁,3
仲氏苽堂,3
